t_start,t_end,miu_old,miu_new,t_added,name,comment
2015-05-01T00:00:00Z,2015-09-01T00:00:00Z,all,NA,2018-06-21T22:33:07Z,Ben,Interference from nearby vent. Moved inlet.
2015-06-01T00:00:00Z,2016-07-09T18:00:00Z,0,NA,2018-06-21T22:33:07Z,Ryan,Removing all zeros
2015-09-16T02:03:00Z,2015-09-16T02:04:45Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad cal
2015-09-25T01:00:00Z,2015-09-25T01:40:00Z,all,NA,2018-06-21T22:33:07Z,Doug,Testing for leaks. None found. N2 empty.
2015-09-29T12:25:00Z,2015-09-29T13:45:00Z,all,NA,2018-06-21T22:33:07Z,Doug,Replaced N2 and STK2.
2015-11-04T12:10:00Z,2015-11-04T14:00:00Z,all,NA,2018-06-21T22:33:07Z,Nick,Bad cal and jump in data.
2016-01-23T18:03:30Z,2016-01-23T18:04:45Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad Cal reading zero
2016-01-23T22:03:30Z,2016-01-23T22:04:45Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad Cal reading zero
2016-01-24T20:00:00Z,2016-01-25T18:30:00Z,384.63,NA,2018-06-21T22:33:07Z,Doug,Bad stk1 clippard recalibrate with only stk2 and stk3.
2016-01-27T02:00:00Z,2016-01-27T02:10:00Z,all,NA,2018-06-21T22:33:07Z,Nick,Bad Cal.
2016-01-29T00:00:00Z,2016-01-29T18:30:00Z,384.63,NA,2018-06-21T22:33:07Z,Doug,Bad stk1 clippard recalibrate with only stk2 and stk3.
2016-03-04T17:09:00Z,2016-03-21T14:00:00Z,-3,580.70,2018-06-21T22:33:07Z,Doug,Forgot to enter tank value into logger
2016-03-04T16:10:00Z,2016-03-04T18:00:00Z,all,NA,2018-06-21T22:33:07Z,Nick,Jump in data between cals. Calibrated data falls.
2016-03-21T14:08:35Z,2016-03-21T14:09:25Z,-3,580.7,2018-06-21T22:33:07Z,Ryan,Known value not input
2016-04-08T14:45:00Z,2016-04-08T18:00:00Z,all,NA,2018-06-21T22:33:07Z,Doug,onsite troubleshooting
2016-04-08T18:03:30Z,2016-04-09T04:00:00Z,all,NA,2018-06-21T22:33:07Z,Bad N23 flow impacted obs,
2016-04-18T15:42:25Z,2016-04-18T15:42:45Z,all,NA,2018-06-21T22:33:07Z,Ryan,bad cal
2016-06-03T15:41:20Z,2016-06-03T15:42:15Z,-1,402.04,2018-06-21T22:33:07Z,Ryan,Known input forgotten
2016-06-03T15:43:45Z,2016-06-03T15:44:30Z,-2,487.08,2018-06-21T22:33:07Z,Ryan,Known input forgotten
2016-07-09T12:11:00Z,2016-07-22T18:00:00Z,all,NA,2018-06-21T22:33:07Z,Doug,Bad li-cor
2016-10-02T00:01:35Z,2016-10-02T00:04:05Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad cal
2016-10-07T17:00:00Z,2016-10-07T19:00:00Z,-1,NA,2018-06-21T22:33:07Z,Doug,On site.
2016-10-07T20:14:30Z,2016-10-07T20:15:25Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad cal
2016-10-10T16:28:45Z,2016-10-10T16:29:35Z,all,NA,2018-06-21T22:33:07Z,Ryan,Known values not input
2016-10-28T00:01:35Z,2016-10-28T00:02:25Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad cal
2016-12-07T14:50:00Z,2016-12-07T18:30:00Z,-2,421.87,2018-06-21T22:33:07Z,Ryan,Known input left out
2016-12-28T00:01:35Z,2016-12-28T00:02:25Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad cal
2017-01-18T00:01:35Z,2017-01-18T00:02:25Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad cal
2017-01-28T23:59:30Z,2017-01-31T03:10:50Z,all,NA,2018-06-21T22:33:07Z,Ryan,ATM is measuring Cal 3
2017-02-25T00:00:00Z,2017-03-10T00:00:00Z,all,NA,2018-06-21T22:33:07Z,Doug,N2 tank bad
2017-02-08T13:35:50Z,2017-02-08T13:40:20Z,all,NA,2018-06-21T22:33:07Z,Ryan,Atm contamination
2017-05-24T15:05:30Z,2017-05-24T15:07:30Z,all,NA,2018-06-21T22:33:07Z,Ryan,Atm contamination
2017-06-30T00:01:35Z,2017-06-30T00:04:45Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad cal
2017-07-01T00:01:00Z,2017-07-31T23:59:00Z,all,NA,2018-06-21T22:33:07Z,Rayn,mostly missing data but the one day that is there is pretty bad
2017-12-12T00:01:35Z,2017-12-12T00:02:30Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad cal
2017-12-26T14:00:00Z,2017-12-27T01:13:00Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad data
2018-01-26T13:36:30Z,2018-01-26T13:59:30Z,all,NA,2018-06-21T22:33:07Z,Ryan,Atm contamination
2018-02-07T00:09:00Z,2018-08-13T18:00:00Z,421.87,NA,2018-06-21T22:33:07Z,Ryan,Cal tank drained
2018-03-10T02:04:10Z,2018-03-10T02:04:40Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad cal
2018-03-23T09:58:30Z,2018-03-23T15:09:50Z,all,NA,2018-06-21T22:33:07Z,Ryan,Cals not working
